Clientes,Protocolo,Mobilidade,TaxaPerda,AtrasoMedio,Vazao,PacotesTransmitidos,PacotesRecebidos,PacotesPerdidos
16,MIXED,Nao,51.06,432.859,1.914,59847,26468,30555
16,MIXED,Sim,42.76,176.929,3.554,88525,46750,37857
1,MIXED,Nao,0.0,6.956,0.531,7374,7374,0
1,MIXED,Sim,76.59,6.967,0.079,7374,1102,5648
2,MIXED,Nao,5.37,33.028,2.289,31518,29666,1692
2,MIXED,Sim,91.5,0.0,0.0,7368,0,6742
32,MIXED,Nao,74.61,445.254,1.563,117022,21509,87308
32,MIXED,Sim,57.87,171.804,3.415,127681,46269,73886
4,MIXED,Nao,7.54,19.958,1.688,24613,22628,1855
4,MIXED,Sim,7.22,322.483,3.631,53364,49170,3853
8,MIXED,Nao,9.11,44.653,2.082,31961,28731,2912
8,MIXED,Sim,45.63,212.62,1.679,46030,22573,21004
16,TCP,Nao,3.35,133.618,3.453,45791,44189,1533
16,TCP,Sim,3.1,160.847,3.908,52612,50957,1632
1,TCP,Nao,0.0,284.404,3.802,51437,51437,0
1,TCP,Sim,4.06,264.556,0.449,6225,5972,253
2,TCP,Nao,0.08,245.897,3.785,50585,50547,38
2,TCP,Sim,83.33,0.0,0.0,12,0,10
32,TCP,Nao,4.28,164.737,3.69,49449,47131,2118
32,TCP,Sim,4.37,196.179,4.0,53990,51545,2359
4,TCP,Nao,1.66,146.779,3.471,45756,44930,761
4,TCP,Sim,1.0,233.152,3.706,49124,48632,492
8,TCP,Nao,1.76,176.521,3.582,46539,45717,817
8,TCP,Sim,1.37,221.942,2.579,34111,33388,469
16,UDP,Nao,84.99,471.995,0.587,116488,8152,98998
16,UDP,Sim,59.41,108.837,2.933,116488,40743,69202
1,UDP,Nao,0.0,6.956,0.531,7374,7374,0
1,UDP,Sim,76.59,6.967,0.079,7374,1102,5648
2,UDP,Nao,0.0,6.957,1.061,14736,14736,0
2,UDP,Sim,91.52,0.0,0.0,14736,0,13487
32,UDP,Nao,88.99,410.673,0.408,229776,5665,204477
32,UDP,Sim,74.19,118.281,3.059,229776,42481,170471
4,UDP,Nao,28.43,402.173,1.459,29422,20266,8365
4,UDP,Sim,18.58,8.208,1.68,29422,23331,5467
8,UDP,Nao,68.88,483.109,1.042,58644,14475,40395
8,UDP,Sim,67.4,10.329,1.02,58644,14169,39527
